tijdstip;locatie;component;waarde;LKI,
2018-08-02 00:00:00+02:00;Amsterdam-Vondelpark;NO;0,8;1
2018-08-02 00:00:00+02:00;Amsterdam-Vondelpark;CO;362,1;2
2018-08-02 00:00:00+02:00;Amsterdam-Vondelpark;FN;1,38;2
2018-08-02 00:00:00+02:00;Amsterdam-Vondelpark;O3;19,7;2
2018-08-02 00:00:00+02:00;Amsterdam-Vondelpark;NO2;47,3;5
2018-08-02 01:00:00+02:00;Amsterdam-Vondelpark;NO2;56,5;5
2018-08-02 01:00:00+02:00;Amsterdam-Vondelpark;O3;14,9;1
2018-08-02 01:00:00+02:00;Amsterdam-Vondelpark;FN;1,54;2
2018-08-02 01:00:00+02:00;Amsterdam-Vondelpark;PM25;4,2;1
2018-08-02 01:00:00+02:00;Amsterdam-Vondelpark;CO;301,0;2
2018-08-02 01:00:00+02:00;Amsterdam-Vondelpark;NO;1,2;1
2018-08-02 01:00:00+02:00;Amsterdam-Vondelpark;PM10;23,0;3
2018-08-02 02:00:00+02:00;Amsterdam-Vondelpark;NO2;31,0;4
2018-08-02 02:00:00+02:00;Amsterdam-Vondelpark;CO;268,8;2
2018-08-02 02:00:00+02:00;Amsterdam-Vondelpark;NO;1,0;1
2018-08-02 02:00:00+02:00;Amsterdam-Vondelpark;O3;29,8;2
2018-08-02 02:00:00+02:00;Amsterdam-Vondelpark;FN;1,07;2
2018-08-02 02:00:00+02:00;Amsterdam-Vondelpark;PM10;13,0;2
2018-08-02 02:00:00+02:00;Amsterdam-Vondelpark;PM25;4,9;1
2018-08-02 03:00:00+02:00;Amsterdam-Vondelpark;CO;280,7;2
2018-08-02 03:00:00+02:00;Amsterdam-Vondelpark;PM25;5,1;1
2018-08-02 03:00:00+02:00;Amsterdam-Vondelpark;PM10;12,3;2
2018-08-02 03:00:00+02:00;Amsterdam-Vondelpark;FN;0,86;1
2018-08-02 03:00:00+02:00;Amsterdam-Vondelpark;O3;25,5;2
2018-08-02 03:00:00+02:00;Amsterdam-Vondelpark;NO2;25,6;3
2018-08-02 03:00:00+02:00;Amsterdam-Vondelpark;NO;1,4;1
2018-08-02 04:00:00+02:00;Amsterdam-Vondelpark;PM10;11,1;2
2018-08-02 04:00:00+02:00;Amsterdam-Vondelpark;CO;287,6;2
2018-08-02 04:00:00+02:00;Amsterdam-Vondelpark;PM25;7,2;1
2018-08-02 04:00:00+02:00;Amsterdam-Vondelpark;NO2;24,5;3
2018-08-02 04:00:00+02:00;Amsterdam-Vondelpark;FN;0,97;1
2018-08-02 04:00:00+02:00;Amsterdam-Vondelpark;NO;1,4;1
2018-08-02 04:00:00+02:00;Amsterdam-Vondelpark;O3;19,4;2
2018-08-02 05:00:00+02:00;Amsterdam-Vondelpark;O3;13,3;1
2018-08-02 05:00:00+02:00;Amsterdam-Vondelpark;CO;298,7;2
2018-08-02 05:00:00+02:00;Amsterdam-Vondelpark;NO;2,1;1
2018-08-02 05:00:00+02:00;Amsterdam-Vondelpark;FN;1,18;2
2018-08-02 05:00:00+02:00;Amsterdam-Vondelpark;PM10;11,2;2
2018-08-02 05:00:00+02:00;Amsterdam-Vondelpark;PM25;7,6;1
2018-08-02 05:00:00+02:00;Amsterdam-Vondelpark;NO2;30,9;4
2018-08-02 06:00:00+02:00;Amsterdam-Vondelpark;PM10;10,6;2
2018-08-02 06:00:00+02:00;Amsterdam-Vondelpark;CO;294,6;2
2018-08-02 06:00:00+02:00;Amsterdam-Vondelpark;NO;1,6;1
2018-08-02 06:00:00+02:00;Amsterdam-Vondelpark;PM25;4,7;1
2018-08-02 06:00:00+02:00;Amsterdam-Vondelpark;NO2;30,0;4
2018-08-02 06:00:00+02:00;Amsterdam-Vondelpark;FN;1,08;2
2018-08-02 06:00:00+02:00;Amsterdam-Vondelpark;O3;15,2;2
